School Name,Website,Campep Degrees,Year,Degree Type,Applicants,Offers,Matriculated,Graduated,Residency,Clinical,Advanced Degrees,Industry,Academic,Other,notes,Address,Latitude,Longitude
Oregon State University,http://ne.oregonstate.edu/oregon-medical-physics-program,"MSc, PhD",2012,All,79,26,6,2,1,1,0,0,0,0,,"116 Radiation Center Corvallis, OR 97331",44.565153,-123.289051
Oregon State University,,,2013,All,75,15,5,0,0,0,0,0,0,0,,,,
Purdue University,http://www.healthsciences.purdue.edu/academics/graduate/medicalphysics/statistics.php,"MSc, PhD",2012,All,39,18,9,6,2,2,0,1,0,1,,"535 Barnhill Drive, RT041 Indianapolis, Indiana 46202",39.779477,-86.170089
Purdue University,,,2013,All,47,20,8,6,1,3,0,0,0,2,,,,
Purdue University,,,2014,All,60,20,0,0,0,0,0,0,0,0,,,,
Ryerson University,http://www.physics.ryerson.ca/graduate/statistics,"MSc, PhD",2007,All,29,12,10,0,0,0,0,0,0,0,,350 Victoria St. Toronto ON Canada M5B 2K3,43.657877,-79.380456
Ryerson University,,,2008,All,31,12,11,8,1,2,3,0,1,1,,,,
Ryerson University,,,2009,All,49,15,12,7,0,0,5,0,0,2,,,,
Ryerson University,,,2010,All,46,14,12,10,0,0,7,1,0,2,,,,
Ryerson University,,,2011,All,68,20,18,8,0,0,4,4,0,0,,,,
Ryerson University,,,2012,All,70,22,19,13,0,1,5,3,2,2,,,,
Ryerson University,,,2013,All,76,23,14,5,1,1,1,1,2,0,,,,
San Diego State University,http://www.physics.sdsu.edu/areas-of-research/,"MSc, PhD",2010,MSc,22,14,8,4,1,3,0,0,0,0,,"5500 Campanile Drive San Diego, CA 92182",32.771969,-117.072702
San Diego State University,,,2011,MSc,31,25,15,12,4,3,4,0,0,1,,,,
San Diego State University,,,2012,MSc,64,20,7,2,0,1,1,0,0,0,,,,
San Diego State University,,,2013,MSc,54,15,8,11,2,4,1,0,0,4,,,,
Seoul National University,http://rplab.snu.ac.kr/,"MSc, PhD",2011,MSc,8,5,5,3,0,0,1,0,0,2,,??????????? ?????? ?????? 28,37.579443,126.999025
Seoul National University,,,2011,PhD,1,1,1,6,0,1,0,0,3,2,,,,
Seoul National University,,,2012,MSc,3,2,2,3,0,0,3,0,0,0,,,,
Seoul National University,,,2012,PhD,2,1,1,2,0,1,0,0,1,0,,,,
Seoul National University,,,2012,MSc + PhD,3,3,3,0,0,0,0,0,0,0,,,,
Seoul National University,,,2013,MSc,2,2,2,3,0,0,2,0,0,1,,,,
Seoul National University,,,2013,PhD,11,5,5,2,0,0,0,1,1,0,,,,
Seoul National University,,,2013,MSc + PhD,4,4,4,0,0,0,0,0,0,0,,,,
SUNY Stony Brook University,http://bme.sunysb.edu/grad/medicalphysics.html,"MSc, PhD",2010,MSc,6,2,2,1,1,0,0,0,0,0,,"HSC L-4 RM 092 Stony Brook, NY 11794",40.90773,-73.113569
SUNY Stony Brook University,,,2010,PhD,8,1,0,1,0,0,1,0,0,0,,,,
SUNY Stony Brook University,,,2011,MSc,12,3,3,1,0,0,0,0,0,0,,,,
SUNY Stony Brook University,,,2011,PhD,11,1,0,1,1,0,0,0,0,0,,,,
SUNY Stony Brook University,,,2012,MSc,16,3,1,4,0,0,2,0,0,1,,,,
SUNY Stony Brook University,,,2012,PhD,51,5,1,0,0,0,0,0,0,0,,,,
University at Buffalo (SUNY),http://wings.buffalo.edu/smbs/medphysics/program_statistics.shtml,"MSc, PhD",2010,MSc,18,12,5,2,0,0,2,0,0,0,,"3435 Main Street Toshiba Stroke Res Center Buffalo, NY 14214",42.933487,-78.843927
University at Buffalo (SUNY),,,2010,PhD,3,3,3,0,0,0,0,0,0,0,,,,
University at Buffalo (SUNY),,,2011,MSc,17,11,0,2,0,2,0,0,0,0,,,,
University at Buffalo (SUNY),,,2011,PhD,3,3,3,1,1,0,0,0,0,0,,,,
University at Buffalo (SUNY),,,2012,MSc,23,12,3,9,1,2,6,0,0,0,,,,
University at Buffalo (SUNY),,,2012,PhD,5,3,3,3,1,1,0,1,0,0,,,,
University at Buffalo (SUNY),,,2013,MSc,18,9,3,0,0,0,0,0,0,0,,,,
University at Buffalo (SUNY),,,2013,PhD,24,15,4,1,0,1,0,0,0,,,,,
University of Alberta,http://mp.med.ualberta.ca/graduate.htm?submenuheader=1,"MSc, PhD",2008,All,20,6,9,2,1,0,1,0,0,0,Only offer combined stats.,"11560 University Avenue Edmonton, T6G 1Z2, Canada",53.518121,-113.531003
University of Alberta,,,2009,All,18,5,4,1,1,0,0,1,0,0,Matriculation data weird.,,,
University of Alberta,,,2010,All,15,3,1,4,2,0,2,0,0,0,,,,
University of Alberta,,,2011,All,21,3,4,5,2,0,2,0,0,1,,,,
University of Alberta,,,2012,All,13,4,8,7,4,0,2,0,0,1,,,,
University of Alberta,,,2013,All,11,3,4,4,2,0,0,0,1,1,,,,
University of Arizona,http://rad-onc.arizona.edu/education/medical-physics-graduate-education,MSc,2009,MSc,12,6,3,4,1,2,1,1,0,0,,"1501 N Campbell Ave Tucson, AZ 85724",32.240799,-110.946165
University of Arizona,,,2010,MSc,14,8,4,1,0,0,1,0,0,0,,,,
University of Arizona,,,2011,MSc,8,3,3,3,1,0,0,1,0,1,,,,
University of Arizona,,,2012,MSc,5,4,4,4,2,0,0,1,0,1,,,,
University of Arizona,,,2013,MSc,12,6,5,1,0,0,0,1,0,0,,,,
University of British Columbia,http://www.phas.ubc.ca/graduate-program-medical-physics-stream-requirements,"MSc, PhD",2011,MSc,29,8,4,4,0,1,3,0,0,0,,"6224 Agricultural Road Vancouver, BC V6T 1Z1, Canada",49.266272,-123.253744
University of British Columbia,,,2011,PhD,11,2,0,1,0,1,0,0,0,0,,,,
University of British Columbia,,,2012,MSc,24,3,3,2,0,0,2,0,0,0,,,,
University of British Columbia,,,2012,PhD,14,4,3,4,2,1,0,1,0,0,,,,
University of Calgary,http://www.ucalgary.ca/rop/node/150,"MSc, PhD, Certificate",2005,MSc,12,5,4,0,0,0,0,0,0,0,,"Tom Baker Cancer Centre 1331 - 29 Street NW Calgary, AB T2N 4N2",51.06302,-114.133538
University of Calgary,,,2006,MSc,5,2,1,0,0,0,0,0,0,0,,,,
University of Calgary,,,2007,MSc,8,1,0,4,2,0,1,0,1,0,,,,
University of Calgary,,,2008,MSc,9,3,1,1,0,0,1,0,0,0,,,,
University of Calgary,,,2009,MSc,9,1,1,0,0,0,0,0,0,0,,,,
University of Calgary,,,2010,MSc,9,2,2,1,0,0,1,0,0,0,,,,
University of Calgary,,,2011,MSc,11,2,1,1,0,0,1,0,0,0,,,,
University of Calgary,,,2012,MSc,8,4,2,0,0,0,0,0,0,0,,,,
University of Calgary,,,2013,MSc,5,4,2,0,0,0,0,0,0,0,,,,
University of Calgary,,,2005,PhD,5,1,1,0,0,0,0,0,0,0,,,,
University of Calgary,,,2006,PhD,2,2,1,0,0,0,0,0,0,0,,,,
University of Calgary,,,2007,PhD,4,1,1,1,1,0,0,0,0,0,,,,
University of Calgary,,,2008,PhD,4,4,4,0,0,0,0,0,0,0,,,,
University of Calgary,,,2009,PhD,4,1,1,1,1,0,0,0,0,0,,,,
University of Calgary,,,2010,PhD,3,1,1,2,2,0,0,0,0,0,,,,
University of Calgary,,,2011,PhD,5,0,1,2,1,1,0,0,0,0,,,,
University of Calgary,,,2012,PhD,3,2,2,0,0,0,0,0,0,0,,,,
University of Calgary,,,2013,PhD,5,0,0,1,1,0,0,0,0,0,,,,
University of Calgary,,,2011,Certificate,2,2,2,1,1,0,0,0,0,0,,,,
University of Calgary,,,2012,Certificate,2,2,2,2,2,0,0,0,0,0,,,,
University of Calgary,,,2013,Certificate,1,1,1,0,0,0,0,0,0,0,,,,
University of California - Los Angeles,http://www.bmp.ucla.edu/AdmissionData.html,"MSc, PhD",2009,All,121,14,8,8,0,1,0,3,2,2,Only offer combined stats.,"10833 LeConte Avenue, B2-049F CHS Los Angeles, CA 90095-6948",34.070264,-118.444056
University of California - Los Angeles,,,2010,All,120,14,6,4,0,1,0,1,1,1,,,,
University of California - Los Angeles,,,2011,All,98,13,6,3,1,1,1,0,0,0,,,,
University of California - Los Angeles,,,2012,All,104,14,10,7,1,0,0,3,0,3,,,,
University of California - Los Angeles,,,2013,All,108,14,7,1,1,0,0,0,0,0,,,,
University of Chicago,http://medicalphysics.uchicago.edu/about/gpmp_stat.html,"PhD, Certificate",2007,PhD,29,9,4,4,2,0,0,1,1,0,,"5841 S. Maryland Ave. Chicago, IL 60637",41.788313,-87.604566
University of Chicago,,,2008,PhD,40,6,4,1,0,0,0,0,1,0,,,,
University of Chicago,,,2009,PhD,39,6,4,1,0,0,0,0,1,0,,,,
University of Chicago,,,2010,PhD,42,10,4,9,1,2,0,2,4,0,,,,
University of Chicago,,,2011,PhD,30,4,4,3,1,0,1,0,1,0,,,,
University of Chicago,,,2012,PhD,42,8,3,5,2,0,0,1,2,0,,,,
University of Florida,http://www.bme.ufl.edu/academics/graduate/medical_physics/program_history,"MSc, PhD, Certificate",2009,All,104,27,8,20,6,6,6,0,2,0,,"202 Nuclear Science Building Gainesville, FL 32611-8300",29.613024,-82.371937
University of Florida,,,2010,All,121,19,13,15,3,5,5,2,1,0,,,,
University of Florida,,,2011,All,85,25,10,7,3,2,2,1,0,0,,,,
University of Florida,,,2012,All,103,17,9,11,2,2,6,2,0,0,,,,
University of Kentucky,http://www.mc.uky.edu/healthsciences/radsci/University%20of%20Kentucky%20Graduate%20Program%20Statistics%202014.pdf,MSc,2010,MSc,47,8,6,8,2,5,0,0,0,0,,"900 South Limestone Street Lexington, KY 40536-0200",38.032143,-84.50897
University of Kentucky,,,2011,MSc,48,10,7,6,3,1,1,0,0,0,,,,
University of Kentucky,,,2012,MSc,55,7,6,6,4,2,0,0,0,0,,,,
University of Kentucky,,,2013,MSc,52,8,8,7,7,0,0,0,0,0,,,,
University of Kentucky,,,2014,MSc,43,12,6,5,5,0,0,0,0,0,,,,
Universite Laval,http://physmed.fsg.ulaval.ca/etudier_au_grpm/programme_de_physique_medicale/,"MSc, PhD",2011,MSc,15,4,4,4,0,4,0,0,0,0,,"2325, rue de l'Universit? Qu?bec (Qu?bec) G1V 0A6 Canada",46.779249,-71.26968
Universite Laval,,,2012,MSc,18,7,6,4,0,4,0,0,0,0,,,,
Universite Laval,,,2013,MSc,17,4,4,5,0,3,2,0,0,0,,,,
Universite Laval,,,2011,PhD,10,2,2,0,0,0,0,0,0,0,,,,
Universite Laval,,,2012,PhD,12,2,1,2,0,1,0,0,1,0,,,,
Universite Laval,,,2013,PhD,16,2,2,2,0,2,0,0,0,0,,,,
University of Manitoba,http://www.cancercare.mb.ca/home/cancer_research/medical_physics/graduate_studies/program_statistics/,"MSc, PhD",2010,MSc,54,5,4,0,0,0,0,0,0,0,,"675 McDermot Avenue Winnipeg, MB R3E 0V9, Canada",49.903061,-97.158321
University of Manitoba,,,2011,MSc,47,6,0,1,0,0,0,1,0,0,,,,
University of Manitoba,,,2012,MSc,74,3,2,1,0,0,0,1,0,0,,,,
University of Manitoba,,,2013,MSc,70,6,4,0,0,0,0,0,0,0,,,,
University of Manitoba,,,2010,PhD,50,1,1,0,0,0,0,0,0,0,,,,
University of Manitoba,,,2011,PhD,50,0,0,2,2,0,0,0,0,0,,,,
University of Manitoba,,,2012,PhD,46,1,1,1,1,0,0,0,0,0,,,,
University of Manitoba,,,2013,PhD,54,0,0,1,0,0,0,0,1,0,,,,
University of Miami,http://www.bme.miami.edu/medical_physics/History.html,"MSc, PhD",2005,MSc,6,3,3,0,0,0,0,0,0,0,,"1251 Memorial Drive Coral Gables, FL 33146",25.721475,-80.279266
University of Miami,,,2006,MSc,5,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2007,MSc,5,0,0,3,0,2,1,0,0,0,,,,
University of Miami,,,2008,MSc,6,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2009,MSc,6,4,3,0,0,0,0,0,0,0,,,,
University of Miami,,,2010,MSc,8,4,4,2,0,1,1,0,0,0,,,,
University of Miami,,,2011,MSc,6,0,0,3,0,1,1,0,0,1,,,,
University of Miami,,,2012,MSc,6,0,0,2,0,2,0,0,0,0,,,,
University of Miami,,,2013,MSc,2,2,2,0,0,0,0,0,0,0,,,,
University of Miami,,,2006,PhD,1,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2007,PhD,1,1,1,0,0,0,0,0,0,0,,,,
University of Miami,,,2008,PhD,2,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2009,PhD,2,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2010,PhD,2,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2011,PhD,4,2,2,1,0,0,0,0,0,1,,,,
University of Miami,,,2012,PhD,4,0,0,0,0,0,0,0,0,0,,,,
University of Miami,,,2013,PhD,5,3,2,0,0,0,0,0,0,0,,,,
University of Nevada Las Vegas,http://www.unlv.edu/hpds/academic-programs/medical-physics-option,MSc,2012,MSc,12,8,4,0,0,0,0,0,0,0,,"4505 Maryland Parkway Box 453037 Las Vegas, NV 89154",36.145164,-115.138149
University of Nevada Las Vegas,,,2013,MSc,17,9,5,2,0,2,0,0,0,0,,,,
University of New Mexico,http://radiology.unm.edu/education/medphys/index.html,MSc,2008,MSc,9,7,4,10,0,9,1,1,0,0,,"1 University of New Mexico Albuquerque, NM 87131-0001",35.084987,-106.625061
University of New Mexico,,,2009,MSc,15,6,1,1,0,1,0,1,0,0,,,,
University of New Mexico,,,2010,MSc,25,7,5,2,0,1,0,0,0,0,,,,
University of New Mexico,,,2011,MSc,21,0,0,0,0,1,0,0,0,0,,,,
University of New Mexico,,,2012,MSc,5,1,1,5,1,2,0,0,1,2,,,,
University of New Mexico,,,2013,MSc,4,0,0,2,0,1,0,1,1,0,,,,
University of Oklahoma,http://www.oumedicine.com/department-of-radiological-sciences/educational-programs/medical-radiological-physics-graduate-program/admissions/graduate-program-student-statistics,"MSc, PhD",2008,All,52,14,6,3,0,2,1,0,0,0,,"940 NE 13th Street, Suite 4G 4250 Oklahoma City, OK 73104-5008",35.48231,-97.501121
University of Oklahoma,,,2009,All,46,8,3,4,0,3,0,0,0,1,,,,
University of Oklahoma,,,2010,All,36,12,7,5,2,3,0,0,0,0,,,,
University of Oklahoma,,,2011,All,27,10,4,4,0,3,1,0,0,0,,,,
University of Oklahoma,,,2012,All,23,12,5,5,1,3,1,0,0,0,,,,
University of Oklahoma,,,2013,All,25,10,5,3,2,1,0,0,0,0,,,,
University of Pennsylvania,http://www.sas.upenn.edu/lps/graduate/mpp/mmp/statistics,"MSc, Certificate",2011,MSc,58,29,11,8,1,5,1,0,1,0,,"209 S. 33rd Street Philadelphia, PA 19104-6396",39.951894,-75.189939
University of Pennsylvania,,,2012,MSc,77,29,9,11,3,7,1,0,0,0,,,,
University of Pennsylvania,,,2013,MSc,62,23,8,11,1,7,0,0,0,0,,,,
University of Texas - Houston,http://www.mdanderson.org/education-and-research/education-and-training/schools-and-programs/graduate-school-of-biomedical-sciences/programs-and-courses/medical-physics-graduate-program/frequently-asked-questions/index.html,"MSc, PhD, Certificate",2009,MSc,31,7,6,6,0,1,1,0,0,0,,"1400 Pressler St. Unit 1472 Houston, TX 77030",29.704908,-95.396901
University of Texas - Houston,,,2010,MSc,35,7,7,7,0,7,0,0,0,0,,,,
University of Texas - Houston,,,2011,MSc,22,7,5,7,0,4,3,0,0,0,,,,
University of Texas - Houston,,,2012,MSc,27,4,4,5,1,4,0,0,0,0,,,,
University of Texas - Houston,,,2009,PhD,60,11,9,6,0,5,0,1,0,0,,,,
University of Texas - Houston,,,2010,PhD,76,18,13,5,1,2,2,0,0,0,,,,
University of Texas - Houston,,,2011,PhD,54,8,6,5,1,3,1,0,0,0,,,,
University of Texas - Houston,,,2012,PhD,86,10,7,6,1,2,2,1,0,0,,,,
University of Texas - Houston,,,2013,PhD,62,13,9,0,0,0,0,0,0,0,,,,
University of Toledo,http://www.utoledo.edu/med/depts/radther/rsro.html,"MSc, PhD",2010,MSc,27,14,6,6,0,6,0,0,0,0,,"3000 Arlington Ave Toledo, OH 43614-2598",41.617878,-83.616321
University of Toledo,,,2011,MSc,24,11,5,2,0,2,0,0,0,0,,,,
University of Toledo,,,2012,MSc,17,12,5,4,1,3,0,0,0,0,,,,
University of Toledo,,,2013,MSc,21,11,5,6,0,6,0,0,0,0,,,,
University of Toledo,,,2010,PhD,5,2,2,0,0,0,0,0,0,0,,,,
University of Toledo,,,2011,PhD,15,1,1,1,0,1,0,0,0,0,,,,
University of Toledo,,,2012,PhD,18,1,1,1,0,1,0,0,0,0,,,,
University of Toledo,,,2013,PhD,12,0,0,2,0,2,0,0,0,0,,,,
University of Victoria,http://www.uvic.ca/science/physics/medicalphysics/student/index.php,"MSc, PhD, Certificate",2009,All,14,2,2,1,0,0,0,0,0,1,,"2410 Lee Avenue Victoria, BC V8R 6V5 CANADA",48.434328,-123.326198
University of Victoria,,,2010,All,17,5,5,2,1,0,2,0,0,0,,,,
University of Victoria,,,2011,All,29,5,5,2,1,0,1,0,0,0,,,,
University of Victoria,,,2012,All,30,4,4,0,0,0,0,0,0,0,,,,
University of Wisconsin,http://www.medphysics.wisc.edu/graduate/facts/,"MSc, PhD",2008,All,130,18,18,27,4,8,2,1,3,9,Results truncated to 2008,"1111 Highland Ave Madison, WI 53705-2275",43.078074,-89.431627
University of Wisconsin,,,2009,All,200,42,18,19,2,7,8,2,0,0,,,,
University of Wisconsin,,,2010,All,144,42,15,24,6,7,5,2,1,3,,,,
University of Wisconsin,,,2011,All,113,32,17,18,3,5,7,3,1,0,,,,
University of Wisconsin,,,2012,All,111,29,15,23,5,6,6,2,1,3,,,,
